timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 13:36:22 2026,1778573182.474907,Bangalore,Clouds,33.17,33.23,36,1006,11.18,8000,100.00,-57.86,497.96,0.0,1
Tue May 12 13:49:10 2026,1778573950.985097,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,100.00,-61.6,766.93,5.13,40
Tue May 12 13:50:14 2026,1778574014.0171957,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,98.88,-59.79,600.29,4.65,44
Tue May 12 13:51:13 2026,1778574073.2460988,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,97.89,-58.49,323.96,4.35,47
Tue May 12 13:52:13 2026,1778574133.809494,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,96.79,-61.3,90.72,4.0,51
Tue May 12 13:53:14 2026,1778574194.0571303,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,95.68,-58.84,107.34,3.7,55
Tue May 12 13:54:16 2026,1778574256.164914,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,94.57,-60.79,416.16,3.45,59
Tue May 12 13:55:15 2026,1778574315.441985,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,93.58,-55.68,257.05,3.28,62
Tue May 12 13:56:17 2026,1778574377.1452725,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,92.47,-59.06,781.59,3.08,66
Tue May 12 13:57:17 2026,1778574437.5711167,Bangalore,Clouds,32.93,33.07,37,1007,3.6,8000,91.37,-59.46,678.8,2.9,70
Tue May 12 13:58:17 2026,1778574497.8001485,Bangalore,Clouds,33.29,33.4,36,1007,12.52,8000,90.27,-62.82,478.24,2.74,74
Tue May 12 13:59:33 2026,1778574573.6355896,Bangalore,Clouds,33.29,33.4,36,1007,12.52,8000,89.09,-60.94,466.14,3.9,78
Tue May 12 14:08:07 2026,1778575087.381951,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,83.52,-61.5,357.47,4.85,104
Tue May 12 14:09:00 2026,1778575140.8289185,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,82.55,-61.82,296.53,4.72,107
Tue May 12 14:09:57 2026,1778575197.7122006,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,81.57,-60.19,558.83,4.59,110
Tue May 12 14:11:01 2026,1778575261.5220785,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,80.45,-59.2,266.62,4.42,114
Tue May 12 14:12:01 2026,1778575321.3748224,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,79.45,-57.44,651.99,5.17,117
Tue May 12 14:14:01 2026,1778575441.9091165,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,77.75,-64.46,316.44,4.88,124
Tue May 12 14:15:01 2026,1778575501.7870708,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,76.75,-57.06,190.65,4.76,127
Tue May 12 14:16:01 2026,1778575561.3331542,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,75.75,-59.15,149.16,4.65,130
Tue May 12 14:17:00 2026,1778575620.9156594,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,74.75,-57.72,89.2,4.55,133
Tue May 12 14:18:01 2026,1778575681.6536193,Bangalore,Clouds,32.87,32.98,37,1004,5.66,8000,73.65,-58.83,176.6,5.15,137
Tue May 12 14:19:03 2026,1778575743.6616096,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,72.54,-59.26,382.39,5.0,141
Tue May 12 14:20:03 2026,1778575803.0547793,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,71.54,-64.14,111.13,5.59,144
Tue May 12 14:21:03 2026,1778575863.0879135,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,70.44,-61.34,791.41,5.44,148
Tue May 12 14:22:04 2026,1778575924.3272803,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,69.33,-61.4,358.07,5.3,152
Tue May 12 14:23:03 2026,1778575983.711048,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,68.34,-60.35,722.44,5.19,155
Tue May 12 14:24:03 2026,1778576043.9496756,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,67.24,-60.16,475.42,5.7,159
Tue May 12 14:25:04 2026,1778576104.3707542,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,66.13,-60.12,379.73,5.56,163
Tue May 12 14:26:05 2026,1778576165.43603,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,65.03,-61.43,797.46,5.42,167
Tue May 12 14:27:06 2026,1778576226.7147825,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,63.92,-64.93,713.79,5.29,171
Tue May 12 14:28:06 2026,1778576286.7272103,Bangalore,Clouds,33.54,33.57,35,1004,12.52,8000,62.82,-57.79,586.57,5.17,175
Tue May 12 14:29:06 2026,1778576346.7741575,Bangalore,Clouds,33.36,33.51,36,1004,12.96,8000,61.72,-64.4,741.66,5.06,179
Tue May 12 14:30:06 2026,1778576406.6925526,Bangalore,Clouds,33.36,33.51,36,1004,12.96,8000,60.72,-66.0,900.92,4.97,182
Tue May 12 15:02:17 2026,1778578337.3365884,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,100.00,-61.19,419.93,6.19,98
Tue May 12 15:04:18 2026,1778578458.5063105,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,98.29,-60.36,549.28,6.73,105
Tue May 12 15:05:18 2026,1778578518.3112717,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,97.30,-56.22,64.86,6.54,108
Tue May 12 15:06:18 2026,1778578578.8377993,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,96.19,-58.79,615.17,6.31,112
Tue May 12 15:07:19 2026,1778578639.6254437,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,95.09,-63.54,587.8,6.09,116
Tue May 12 15:08:21 2026,1778578701.1154718,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,93.98,-65.14,397.86,6.72,120
Tue May 12 15:09:20 2026,1778578760.5706272,Bangalore,Clouds,33.47,33.87,37,1005,13.41,8000,92.98,-62.04,558.73,6.56,123
Tue May 12 15:10:23 2026,1778578823.0361228,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,91.87,-59.45,725.66,6.35,127
Tue May 12 15:11:25 2026,1778578885.856722,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,90.76,-62.39,148.49,6.15,131
Tue May 12 15:12:25 2026,1778578945.985917,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,89.66,-61.35,734.38,5.97,135
Tue May 12 15:15:36 2026,1778579136.5819457,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,87.30,-64.45,809.76,5.56,145
Tue May 12 15:16:28 2026,1778579188.2761054,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,86.35,-56.19,613.52,5.44,148
Tue May 12 15:17:24 2026,1778579244.880692,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,85.36,-63.67,171.52,5.33,151
Tue May 12 15:18:24 2026,1778579304.9544525,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,84.26,-57.11,784.6,5.19,155
Tue May 12 15:19:25 2026,1778579365.3708067,Bangalore,Clouds,33.42,33.8,37,1003,13.41,10000,83.16,-57.72,303.24,5.06,159
Tue May 12 15:20:26 2026,1778579426.2102344,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,82.06,-58.04,213.38,4.94,163
Tue May 12 15:21:27 2026,1778579487.912831,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,80.95,-62.64,667.27,4.82,167
Tue May 12 15:22:27 2026,1778579547.0910552,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,79.95,-57.73,510.95,4.73,170
Tue May 12 15:23:28 2026,1778579608.2319708,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,78.85,-60.2,152.05,4.62,174
Tue May 12 15:24:28 2026,1778579668.610202,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,77.74,-60.77,283.89,4.52,178
Tue May 12 15:25:51 2026,1778579751.0326576,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,76.43,-62.4,522.06,4.4,183
Tue May 12 15:26:29 2026,1778579789.151814,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,75.64,-59.81,165.97,4.35,185
Tue May 12 15:27:38 2026,1778579858.0577753,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,74.50,-57.76,220.51,4.26,189
Tue May 12 15:28:30 2026,1778579910.0217867,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,73.54,-55.99,102.07,4.19,192
Tue May 12 15:29:31 2026,1778579971.890525,Bangalore,Clouds,32.78,33.04,38,1003,13.41,10000,72.43,-58.13,366.9,4.1,196
Tue May 12 15:30:31 2026,1778580031.5444236,Bangalore,Clouds,32.82,33.1,38,1003,13.41,10000,71.43,-61.55,231.25,4.04,199
Tue May 12 15:31:36 2026,1778580096.3799803,Bangalore,Clouds,32.82,33.1,38,1003,13.41,10000,70.30,-61.68,904.05,3.96,203
Tue May 12 15:32:32 2026,1778580152.049702,Bangalore,Clouds,32.82,33.1,38,1003,13.41,10000,69.33,-63.73,392.36,3.9,206
Tue May 12 15:33:35 2026,1778580215.6270905,Bangalore,Clouds,32.82,33.1,38,1003,13.41,10000,68.21,-64.14,535.15,3.83,210
