timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 13:36:20 2026,1778573180.9507904,Delhi,Haze,37.05,38.44,32,1001,4.12,4500,100.00,-58.06,163.7,0.0,1
Tue May 12 13:49:10 2026,1778573950.3946016,Delhi,Haze,37.05,38.44,32,1001,4.12,4500,100.00,-57.59,253.97,5.13,40
Tue May 12 13:51:10 2026,1778574070.022588,Delhi,Haze,37.05,38.44,32,1001,4.12,4500,98.40,-54.9,182.66,4.44,46
Tue May 12 13:52:10 2026,1778574130.4906456,Delhi,Haze,37.05,38.44,32,1001,4.12,4500,97.30,-59.64,1087.15,4.08,50
Tue May 12 13:53:11 2026,1778574191.210547,Delhi,Haze,37.05,38.44,32,1001,4.12,4500,96.20,-52.95,716.3,3.77,54
Tue May 12 13:54:10 2026,1778574250.7062376,Delhi,Haze,37.05,38.44,32,1001,4.12,4500,95.20,-53.95,249.5,3.57,57
Tue May 12 13:55:11 2026,1778574311.2127705,Delhi,Haze,37.05,38.44,32,1001,4.12,5000,94.10,-54.86,506.29,3.33,61
Tue May 12 13:56:12 2026,1778574372.5773664,Delhi,Haze,37.05,38.44,32,1001,4.12,5000,92.99,-56.66,574.36,3.12,65
Tue May 12 13:57:13 2026,1778574433.17608,Delhi,Haze,37.05,38.44,32,1001,4.12,5000,91.89,-52.79,153.62,2.94,69
Tue May 12 13:58:13 2026,1778574493.6091835,Delhi,Haze,37.05,38.44,32,1001,4.12,5000,90.78,-55.26,341.64,4.17,73
Tue May 12 13:59:30 2026,1778574570.1150067,Delhi,Haze,37.05,38.44,32,1001,4.12,5000,89.60,-56.2,653.53,5.26,77
Tue May 12 14:07:54 2026,1778575074.3968587,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,84.08,-56.58,289.14,3.92,103
Tue May 12 14:08:57 2026,1778575137.5554276,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,82.96,-51.57,329.13,4.72,107
Tue May 12 14:09:54 2026,1778575194.118717,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,81.98,-59.92,189.23,4.59,110
Tue May 12 14:10:55 2026,1778575255.664482,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,80.87,-53.06,687.96,4.42,114
Tue May 12 14:11:56 2026,1778575316.8654325,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,79.77,-50.69,378.28,4.27,118
Tue May 12 14:13:05 2026,1778575385.228904,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,78.63,-55.63,282.08,4.13,122
Tue May 12 14:13:57 2026,1778575437.8514829,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,77.66,-54.64,384.24,4.03,125
Tue May 12 14:14:56 2026,1778575496.4976037,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,76.67,-50.66,524.55,3.94,128
Tue May 12 14:15:58 2026,1778575558.5171423,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,75.56,-54.6,117.79,3.82,132
Tue May 12 14:16:58 2026,1778575618.6094117,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,74.46,-61.96,375.92,3.7,136
Tue May 12 14:17:59 2026,1778575679.9745212,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,73.35,-53.73,227.3,3.6,140
Tue May 12 14:19:00 2026,1778575740.6366148,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,72.25,-60.52,507.81,3.5,144
Tue May 12 14:20:01 2026,1778575801.274433,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,71.15,-58.7,773.02,3.4,148
Tue May 12 14:21:03 2026,1778575863.749266,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,70.03,-56.29,1422.39,3.31,152
Tue May 12 14:24:05 2026,1778576045.743148,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,67.72,-55.77,418.79,3.11,162
Tue May 12 14:25:05 2026,1778576105.27286,Delhi,Haze,37.05,38.44,32,1000,4.12,5000,66.73,-55.47,347.96,3.05,165
Tue May 12 14:26:06 2026,1778576166.268057,Delhi,Haze,37.05,39.1,34,1000,4.12,5000,65.62,-52.49,657.07,2.98,169
Tue May 12 14:28:09 2026,1778576289.6422324,Delhi,Haze,37.05,39.1,34,1000,4.12,5000,63.90,-55.98,545.88,2.86,176
Tue May 12 14:29:12 2026,1778576352.1438687,Delhi,Haze,37.05,39.1,34,1000,4.12,5000,62.79,-49.4,100.15,2.79,180
Tue May 12 14:30:12 2026,1778576412.9763763,Delhi,Haze,37.05,39.1,34,1000,4.12,5000,61.69,-57.01,102.74,2.73,184
Tue May 12 15:02:16 2026,1778578336.1624029,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,100.00,-55.28,448.13,7.22,98
Tue May 12 15:03:16 2026,1778578396.0148127,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,99.00,-55.27,477.05,7.0,101
Tue May 12 15:04:16 2026,1778578456.657047,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,97.90,-55.76,695.27,7.69,105
Tue May 12 15:05:16 2026,1778578516.460191,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,96.90,-51.76,213.6,7.48,108
Tue May 12 15:06:17 2026,1778578577.341515,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,95.79,-59.02,65.41,7.21,112
Tue May 12 15:07:18 2026,1778578638.0200448,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,94.69,-57.72,125.67,6.96,116
Tue May 12 15:08:18 2026,1778578698.024771,Delhi,Haze,37.05,39.79,36,1000,4.12,5000,93.59,-54.98,453.11,6.72,120
Tue May 12 15:10:18 2026,1778578818.853046,Delhi,Haze,37.05,39.79,36,999,4.12,5000,91.89,-59.75,589.12,6.35,127
Tue May 12 15:11:22 2026,1778578882.415785,Delhi,Haze,37.05,39.79,36,999,4.12,5000,90.77,-56.22,732.29,6.15,131
Tue May 12 15:12:19 2026,1778578939.4202082,Delhi,Haze,37.05,39.79,36,999,4.12,5000,89.78,-58.41,678.88,6.02,134
Tue May 12 15:16:23 2026,1778579183.266878,Delhi,Haze,37.05,39.79,36,999,4.12,5000,86.86,-52.36,76.02,6.85,147
Tue May 12 15:17:20 2026,1778579240.906685,Delhi,Haze,37.05,39.79,36,999,4.12,5000,85.88,-53.14,563.01,6.71,150
Tue May 12 15:18:20 2026,1778579300.8616157,Delhi,Haze,37.05,39.79,36,999,4.12,5000,84.88,-47.22,620.65,6.58,153
Tue May 12 15:19:22 2026,1778579362.246958,Delhi,Haze,37.05,39.79,36,999,4.12,5000,83.77,-49.83,1231.42,6.41,157
Tue May 12 15:20:22 2026,1778579422.5409214,Delhi,Haze,37.05,39.79,36,999,4.12,5000,82.67,-58.45,261.99,6.25,161
Tue May 12 15:21:24 2026,1778579484.3548288,Delhi,Haze,37.05,39.79,36,999,4.12,5000,81.56,-57.06,120.82,6.1,165
Tue May 12 15:22:23 2026,1778579543.786327,Delhi,Haze,37.05,39.79,36,999,4.12,5000,80.56,-51.44,494.5,5.99,168
Tue May 12 15:23:24 2026,1778579604.7778566,Delhi,Haze,37.05,39.79,36,999,4.12,5000,79.46,-58.96,296.9,5.85,172
Tue May 12 15:24:23 2026,1778579663.9938676,Delhi,Haze,37.05,39.79,36,999,4.12,5000,78.46,-55.95,71.76,5.75,175
Tue May 12 15:26:24 2026,1778579784.240075,Delhi,Haze,37.05,39.79,36,999,4.12,5000,76.76,-52.19,319.01,5.52,182
Tue May 12 15:27:37 2026,1778579857.4866624,Delhi,Haze,37.05,39.79,36,999,4.12,5000,75.59,-55.62,747.35,5.95,186
Tue May 12 15:28:25 2026,1778579905.6978755,Delhi,Haze,37.05,39.79,36,999,4.12,5000,74.65,-56.1,1434.02,5.85,189
Tue May 12 15:29:25 2026,1778579965.4038994,Delhi,Haze,37.05,39.79,36,999,4.12,5000,73.65,-52.82,390.63,5.76,192
Tue May 12 15:30:25 2026,1778580025.44221,Delhi,Haze,37.05,39.79,36,999,4.12,5000,72.55,-54.01,321.89,5.64,196
Tue May 12 15:31:28 2026,1778580088.1880314,Delhi,Haze,37.05,39.79,36,999,4.12,5000,71.44,-49.37,699.73,5.53,200
Tue May 12 15:32:28 2026,1778580148.4824402,Delhi,Haze,37.05,39.79,36,999,4.12,5000,70.34,-53.26,751.42,5.42,204
Tue May 12 15:33:27 2026,1778580207.9630687,Delhi,Haze,37.05,39.79,36,999,4.12,5000,69.34,-61.74,448.07,5.34,207
Tue May 12 15:34:28 2026,1778580268.8783774,Delhi,Haze,37.05,39.79,36,999,4.12,5000,68.24,-59.43,343.9,5.24,211
Tue May 12 15:35:29 2026,1778580329.0237348,Delhi,Haze,37.05,39.79,36,999,4.12,5000,67.14,-53.54,157.67,5.61,215
Tue May 12 15:36:29 2026,1778580389.2045407,Delhi,Haze,37.05,39.79,36,999,4.12,5000,66.03,-57.74,457.17,5.96,219
Tue May 12 15:37:29 2026,1778580449.5595071,Delhi,Haze,37.05,39.79,36,999,4.12,5000,64.93,-48.22,280.07,5.86,223
Tue May 12 15:38:30 2026,1778580510.9288502,Delhi,Haze,37.05,39.79,36,999,4.12,5000,63.83,-54.98,692.22,5.75,227
Tue May 12 15:39:30 2026,1778580570.9873383,Delhi,Haze,37.05,39.79,36,999,4.12,5000,62.73,-46.72,199.31,5.65,231
Tue May 12 15:40:30 2026,1778580630.801766,Delhi,Haze,37.05,39.79,36,999,4.12,5000,61.73,-57.23,307.4,5.58,234
Tue May 12 15:41:31 2026,1778580691.6724942,Delhi,Haze,37.05,39.79,36,999,4.12,5000,60.62,-51.0,581.31,5.49,238
Tue May 12 15:42:31 2026,1778580751.2414622,Delhi,Haze,37.05,39.79,36,999,4.12,5000,59.62,-55.27,138.72,5.42,241
Tue May 12 15:43:32 2026,1778580812.1202495,Delhi,Haze,37.05,39.79,36,999,4.12,5000,58.52,-59.92,474.72,5.33,245
Tue May 12 15:44:31 2026,1778580871.5724237,Delhi,Haze,37.05,39.79,36,999,4.12,5000,57.52,-65.18,642.8,5.67,248
Tue May 12 15:45:32 2026,1778580932.779699,Delhi,Haze,37.05,39.79,36,999,4.12,5000,56.42,-55.58,112.25,5.58,252
Tue May 12 15:46:34 2026,1778580994.8015566,Delhi,Haze,37.05,39.79,36,999,4.12,5000,55.31,-47.73,568.55,5.49,256
Tue May 12 15:47:34 2026,1778581054.658158,Delhi,Haze,37.05,39.79,36,999,4.12,5000,54.31,-61.07,391.26,5.81,259
Tue May 12 15:48:35 2026,1778581115.23252,Delhi,Haze,37.05,39.79,36,999,4.12,5000,53.20,-55.23,695.19,5.73,263
Tue May 12 15:49:35 2026,1778581175.2738633,Delhi,Haze,37.05,39.79,36,999,4.12,5000,52.10,-58.04,58.96,5.64,267
Tue May 12 15:50:36 2026,1778581236.008368,Delhi,Haze,37.05,39.79,36,999,4.12,5000,51.00,-57.77,134.74,5.56,271
Tue May 12 15:51:34 2026,1778581294.7788916,Delhi,Haze,37.05,39.79,36,999,4.12,5000,50.01,-59.05,1386.09,5.49,274
Tue May 12 15:52:35 2026,1778581355.1882958,Delhi,Haze,37.05,39.79,36,999,4.12,5000,48.90,-53.07,444.23,5.42,278
Tue May 12 15:53:35 2026,1778581415.6837063,Delhi,Haze,37.05,39.79,36,999,4.12,5000,47.80,-51.4,584.92,5.69,282
Tue May 12 15:54:37 2026,1778581477.0926318,Delhi,Haze,37.05,39.79,36,999,4.12,5000,46.70,-54.54,82.92,5.61,286
Tue May 12 15:56:37 2026,1778581597.2875946,Delhi,Haze,37.05,39.79,36,999,4.12,5000,44.99,-53.62,781.21,5.48,293
Tue May 12 15:57:38 2026,1778581658.1418834,Delhi,Haze,37.05,39.79,36,999,4.12,5000,43.89,-57.5,248.89,5.41,297
Tue May 12 15:58:39 2026,1778581719.5552318,Delhi,Haze,37.05,40.92,39,999,5.14,5000,42.78,-58.58,351.2,5.33,301
Tue May 12 15:59:39 2026,1778581779.4777105,Delhi,Haze,37.05,40.92,39,999,5.14,5000,41.78,-58.33,710.47,5.61,304
Tue May 12 16:00:40 2026,1778581840.0537152,Delhi,Haze,37.05,40.92,39,999,5.14,5000,40.68,-57.08,681.94,5.54,308
Tue May 12 16:01:42 2026,1778581902.0945344,Delhi,Haze,37.05,40.92,39,999,5.14,5000,39.57,-59.57,789.17,5.47,312
Tue May 12 16:02:40 2026,1778581960.8250377,Delhi,Haze,37.05,40.92,39,999,5.14,5000,38.58,-57.38,929.81,5.41,315
Tue May 12 16:03:41 2026,1778582021.6965885,Delhi,Haze,37.05,40.92,39,999,5.14,5000,37.47,-52.82,867.66,5.35,319
Tue May 12 16:05:44 2026,1778582144.0953152,Delhi,Haze,37.05,40.92,39,999,5.14,5000,35.76,-58.2,405.5,5.23,326
Tue May 12 16:06:43 2026,1778582203.8340583,Delhi,Haze,37.05,40.92,39,999,5.14,5000,34.76,-56.33,321.97,5.18,329
Tue May 12 16:07:44 2026,1778582264.25848,Delhi,Haze,37.05,40.92,39,999,5.14,5000,33.66,-58.93,692.1,5.12,333
Tue May 12 16:08:44 2026,1778582324.4435475,Delhi,Haze,37.05,40.92,39,998,5.14,5000,32.56,-55.43,344.14,5.06,337
Tue May 12 16:09:45 2026,1778582385.4864318,Delhi,Haze,37.05,40.92,39,998,5.14,5000,31.45,-58.13,1155.99,5.0,341
Tue May 12 16:10:46 2026,1778582446.7454605,Delhi,Haze,37.05,40.92,39,998,5.14,5000,30.35,-53.75,455.1,5.23,345
Tue May 12 16:11:45 2026,1778582505.8971632,Delhi,Haze,37.05,40.92,39,998,5.14,5000,29.35,-49.87,229.23,5.19,348
