timestamp,unix_ts,node_id,condition,temp,feels_like,humidity,pressure,wind_speed,visibility,battery_level,signal_strength,latency_ms,packet_loss_rate,seq_num
Tue May 12 13:36:21 2026,1778573181.4358685,Mumbai,Smoke,33.99,40.16,55,1005,6.69,4500,100.00,-76.38,378.77,0.0,1
Tue May 12 13:49:10 2026,1778573950.9310205,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,100.00,-73.13,530.84,5.13,40
Tue May 12 13:50:11 2026,1778574011.3859868,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,98.90,-75.61,127.23,4.65,44
Tue May 12 13:51:14 2026,1778574074.263571,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,97.78,-75.25,564.92,4.26,48
Tue May 12 13:52:12 2026,1778574132.0891526,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,96.79,-75.36,181.76,4.0,51
Tue May 12 13:53:12 2026,1778574192.342842,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,95.69,-70.67,694.25,5.56,55
Tue May 12 13:54:11 2026,1778574251.3304906,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,94.70,-76.09,745.51,5.26,58
Tue May 12 13:55:12 2026,1778574312.693572,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,93.59,-72.92,358.76,4.92,62
Tue May 12 13:56:12 2026,1778574372.667706,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,92.59,-75.25,417.94,4.69,65
Tue May 12 13:57:12 2026,1778574432.9462757,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,91.49,-75.98,670.84,4.41,69
Tue May 12 13:58:13 2026,1778574493.6011655,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,90.39,-77.93,723.62,4.17,73
Tue May 12 13:59:29 2026,1778574569.8809085,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,89.21,-73.42,172.05,5.26,77
Tue May 12 14:07:55 2026,1778575075.510517,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,83.68,-79.43,367.06,3.92,103
Tue May 12 14:09:00 2026,1778575140.8694627,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,82.55,-75.67,73.55,3.77,107
Tue May 12 14:09:57 2026,1778575197.368894,Mumbai,Smoke,33.99,40.99,59,1005,7.2,4500,81.57,-76.52,708.86,3.67,110
Tue May 12 14:10:59 2026,1778575259.800401,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,80.46,-78.2,1452.69,3.54,114
Tue May 12 14:12:00 2026,1778575320.613902,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,79.35,-72.45,671.55,3.42,118
Tue May 12 14:13:13 2026,1778575393.688897,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,78.19,-70.36,595.17,3.31,122
Tue May 12 14:13:59 2026,1778575439.873622,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,77.26,-70.95,501.92,3.23,125
Tue May 12 14:15:00 2026,1778575500.8027637,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,76.15,-73.24,314.05,3.12,129
Tue May 12 14:16:01 2026,1778575561.4943051,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,75.05,-72.2,792.63,3.79,133
Tue May 12 14:17:03 2026,1778575623.9720998,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,73.93,-72.44,55.03,3.68,137
Tue May 12 14:18:02 2026,1778575682.482454,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,72.94,-77.13,794.68,3.6,140
Tue May 12 14:19:03 2026,1778575743.7261443,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,71.84,-73.49,577.37,3.5,144
Tue May 12 14:20:02 2026,1778575802.566677,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,70.84,-77.49,754.12,3.42,147
Tue May 12 14:21:04 2026,1778575864.5385842,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,69.73,-78.69,56.84,3.33,151
Tue May 12 14:22:05 2026,1778575925.5728698,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,68.63,-74.8,291.23,3.9,155
Tue May 12 14:23:06 2026,1778575986.386981,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,67.52,-77.8,713.49,4.43,159
Tue May 12 14:24:06 2026,1778576046.415588,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,66.42,-79.46,867.46,4.32,163
Tue May 12 14:26:06 2026,1778576166.5625892,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,64.72,-74.32,249.95,4.14,170
Tue May 12 14:27:07 2026,1778576227.5269597,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,63.62,-67.17,230.37,4.05,174
Tue May 12 14:28:08 2026,1778576288.0624788,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,62.51,-75.8,510.29,3.95,178
Tue May 12 14:29:08 2026,1778576348.4469688,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,61.41,-71.58,149.72,3.87,182
Tue May 12 14:30:09 2026,1778576409.3193803,Mumbai,Smoke,32.99,38.79,58,1004,7.2,4500,60.31,-71.94,225.53,3.78,186
Tue May 12 15:02:16 2026,1778578336.876113,Mumbai,Smoke,32.99,39.99,62,1004,7.2,5000,100.00,-77.05,151.54,7.22,98
Tue May 12 15:03:16 2026,1778578396.30671,Mumbai,Smoke,32.99,39.99,62,1004,7.2,5000,99.00,-74.17,409.35,7.0,101
Tue May 12 15:04:17 2026,1778578457.156887,Mumbai,Smoke,32.99,39.99,62,1004,7.2,5000,97.90,-71.4,228.45,6.73,105
Tue May 12 15:05:16 2026,1778578516.66354,Mumbai,Smoke,32.99,39.99,62,1004,7.2,5000,96.90,-74.09,415.49,6.54,108
